xx,yy,time
107.382,1.912,1
362.25,1.917,1
632.3,0.9,1
117.5,2.929,1
127.367,4.033,1
326.8,4.4,1
353.3,4.7,1
389.5,4.125,1
432.045,3.682,1
136.571,5.214,1
379,5.5,1
399.357,5.69,1
146.214,6,1
420.682,5.773,1
444,6,1
409.885,6.731,1
28.115,7.808,1
370,7.786,1
631,9.214,1
316.318,9.591,1
360.382,10.971,1
112.083,10.75,1
15.625,11.375,1
121.885,11.885,1
333.5,11.5,1
131.423,13.038,1
350.912,13.618,1
385.5,12.929,1
141,14.214,1
376.233,14.5,1
150.885,14.885,1
324.115,14.885,1
394.5,15.1,1
638.5,15.3,1
341.786,16,1
556.962,15.654,1
598.115,15.885,1
624.5,17.333,1
367.136,17.409,1
26.5,19.3,1
389.357,18.786,1
332.333,20.5,1
358.115,19.885,1
565.885,19.885,1
479.9,21.1,1
15.389,21.278,1
383.5,22.071,1
135.5,22.5,1
145.5,23,1
156.5,23.5,1
349.367,22.967,1
374.115,23.885,1
539.5,23.5,1
392.7,25,1
609.346,25.5,1
340.115,25.885,1
365.167,26.233,1
598,26,1
34.5,27.3,1
166.864,26.955,1
577.115,27.115,1
588.071,27.5,1
159.7,28.5,1
356.125,29.062,1
556.808,28.5,1
24.864,30.227,1
140.731,31.346,1
151.115,31.115,1
382.167,31.367,1
548.885,31.115,1
347.367,32.167,1
30.944,33.167,1
372.577,33.038,1
167.071,33.5,1
604.038,33.654,1
614.962,33.654,1
49.115,35.115,1
160.955,34.864,1
337.929,35.571,1
363.556,35.667,1
539.5,35.5,1
583.577,36.192,1
594,35.786,1
37,37,1
172.333,37.417,1
573.5,36.667,1
354.5,38.333,1
28.033,39.633,1
43.125,38.75,1
18.136,40.045,1
66,40,1
633.286,40.286,1
609.214,41,1
55.885,42.115,1
153.885,41.885,1
345.417,42.167,1
371.269,42.423,1
600.038,43.346,1
46.318,44.318,1
164.962,44.346,1
361.75,44.875,1
579.115,45.115,1
569.083,46.417,1
589.591,46.409,1
625.591,45.864,1
27.346,48.115,1
37.333,46.583,1
352.767,47.833,1
511.5,46.5,1
616.136,48.045,1
62.409,49.864,1
173.143,50.357,1
606.808,50.577,1
18.136,50.409,1
52.929,51.5,1
158.192,51.423,1
343,51,1
368.967,51.367,1
166.038,51.654,1
632.5,52.25,1
183.375,52.625,1
396.318,52.682,1
597.367,52.967,1
43.577,53.885,1
359.731,54.269,1
583.367,54.967,1
622.071,54.643,1
34.286,55.929,1
573.833,56.25,1
25.038,57.423,1
350.5,56.929,1
613.115,57.115,1
166.038,58.654,1
604.033,59.633,1
5.7,59.9,1
15.7,59.6,1
340.5,60.045,1
50.038,60.654,1
176.167,60.75,1
366.214,61,1
186.045,62.136,1
629.375,61.625,1
40.885,63.115,1
595.286,62.857,1
357.5,64.125,1
619.786,64,1
31.938,64.875,1
22.409,66.227,1
348.423,66.192,1
610.885,66.115,1
55.885,67.885,1
636,68,1
11.833,68.389,1
328.667,68.917,1
338.929,69.5,1
602.033,69.367,1
47.167,70.233,1
626.929,70.5,1
38.033,72.367,1
592.633,72.033,1
617.786,72.857,1
28.423,74.115,1
355.633,73.9,1
19.115,75.115,1
63,75,1
346.029,75.382,1
608.833,75.633,1
184.5,76.045,1
54,77.214,1
198.5,77.5,1
340.2,77.8,1
633.654,76.962,1
334,77.786,1
44.444,79.611,1
599.367,78.967,1
624.429,79.786,1
69.5,80.929,1
35.5,81.875,1
79.1,82.4,1
615.5,82.071,1
352.562,83.25,1
362.143,83.214,1
23.136,83.409,1
60.286,84.143,1
343.167,84.233,1
372.033,85.167,1
606.833,84.75,1
324.286,85.929,1
631.367,86.167,1
51.214,86.643,1
314.833,86.75,1
334.125,87.25,1
87.885,87.885,1
594.5,88,1
41.833,88.767,1
622.214,89,1
613.1,91.1,1
26.292,92.875,1
347.885,92.115,1
357.5,92,1
586.115,91.885,1
57.111,93.889,1
367,93.214,1
638.1,93.1,1
604.25,93.917,1
34.967,95.367,1
68.056,94.167,1
318.967,95.367,1
328.571,95.214,1
339.125,95.312,1
377,95,1
628.967,95.367,1
577.75,97.083,1
595.5,97,1
45,97.786,1
86.115,97.885,1
620,97.786,1
18.955,99.136,1
345.5,98,1
611.167,99.833,1
76.5,100.667,1
351.833,100.767,1
361.367,100.967,1
586.967,101.367,1
370.833,102.233,1
636,102,1
28.167,102.583,1
55.409,102.773,1
333.233,103.233,1
342.875,103.75,1
480.962,103.346,1
37.808,103.5,1
323.1,104.1,1
601.115,104.269,1
380.167,105,1
490.038,105.654,1
47.286,107.071,1
349.3,106.1,1
579.633,106.967,1
84.136,107.409,1
618,107.786,1
355.75,109.062,1
364.929,109.5,1
473,109,1
592.962,108.654,1
608.5,108.5,1
19.885,109.885,1
73.136,109.409,1
463.633,110.033,1
38.423,111.269,1
54.8,112.4,1
326.633,112.167,1
336.9,112.1,1
346.633,112.033,1
374.038,112.346,1
634,111.5,1
316.857,113.286,1
600.688,113.688,1
64.5,113.5,1
468.643,114.071,1
484,114.5,1
495.885,113.885,1
585.786,114,1
614.885,114.115,1
624.5,113.786,1
29.5,114.5,1
383.885,114.885,1
506.8,114.8,1
352.1,115.3,1
638.611,116.167,1
46.167,116.75,1
357.433,118.233,1
474,118.214,1
608.868,118.395,1
340.033,119.833,1
464.417,119.667,1
578.033,119.367,1
593.265,119.441,1
331.167,120.5,1
366.5,120.333,1
37.115,121.115,1
348.735,121.441,1
632.9,120.3,1
54.045,122.136,1
320.786,122,1
376.136,122.045,1
454,121.786,1
490.5,121.5,1
500.833,122.25,1
551.6,123.7,1
569.786,124,1
601.885,123.885,1
354.5,124.5,1
443.654,124.962,1
481,124.786,1
585.429,124.643,1
254.7,125.5,1
312,126,1
326.682,126.045,1
335.833,125.167,1
45.5,126.5,1
470.767,127.167,1
527.136,126.591,1
360.167,127.75,1
433.885,128.115,1
461,128.214,1
560.583,127.917,1
609.786,128,1
625.5,127,1
342,129,1
577.5,129.433,1
593.625,129.125,1
332.5,130.333,1
541.286,130.286,1
633.9,129.9,1
351.367,130.967,1
451.286,130.857,1
497.583,131.417,1
508.167,130.389,1
54.2,132.2,1
322.25,131.833,1
408.038,131.654,1
425.083,132.417,1
487.167,132.611,1
551.917,133.25,1
569.233,133.633,1
602.038,133.346,1
441.567,134.233,1
477.147,134.029,1
585.633,134.033,1
207,135,1
339.167,134.5,1
467.237,135.868,1
626.714,135.714,1
219.423,136.192,1
46.045,137.136,1
416.5,136.667,1
458.088,137.382,1
533,136.7,1
560.423,137.269,1
610.071,137.5,1
